val,yr
707.351433709098,2017
697.186297583022,2017
698.591289653824,2017
701.481985251554,2017
695.029277145557,2017
697.564796714492,2017
695.578154540857,2017
712.408483608108,2017
705.060655017091,2017
696.070109653152,2017
713.102440385802,2017
697.578319518624,2017
697.327418647916,2017
700.041968577058,2017
707.807173815395,2017
698.043674707512,2017
707.527095440214,2017
698.803500817268,2017
697.550825687735,2017
705.197377797087,2017
713.292025072415,2017
698.095568473655,2017
704.128427352623,2017
706.000348307755,2017
699.093404436038,2017
705.579682012363,2017
695.388932191134,2017
698.343053014377,2017
708.046999109773,2017
698.941157637576,2017
701.04316094279,2017
698.895073304685,2017
699.176035564812,2017
701.714715091497,2017
697.634835806896,2017
698.574096841974,2017
697.183247983383,2017
706.719721442497,2017
700.946102214889,2017
707.26720857496,2017
706.483344196096,2017
697.451932525654,2017
698.10321750799,2017
698.94322739297,2017
698.255692931694,2017
697.407375414797,2017
705.742244143012,2017
697.009338201613,2017
703.874733615246,2017
701.113236750094,2017
697.506502104995,2017
707.93351971829,2017
705.411909661181,2017
695.781144650404,2017
697.072823151466,2017
695.889966774082,2017
699.716491247073,2017
698.093750390401,2017
697.613464423594,2017
697.532772088891,2017
697.707437603785,2017
700.03248119655,2017
697.84014568853,2017
710.496815827237,2017
705.485633593713,2017
704.030718758749,2017
699.488528775279,2017
700.358223482441,2017
699.689659761397,2017
699.056128289449,2017
699.44441600614,2017
708.377462761244,2017
693.41860890372,2017
705.551215754065,2017
703.467343232954,2017
700.45827199156,2017
703.306184313387,2017
697.308142736973,2017
700.701834514532,2017
697.739980150759,2017
698.254591335173,2017
697.948411446163,2017
706.531320761799,2017
697.333789744434,2017
704.009617076656,2017
699.516137860434,2017
700.660469561512,2017
704.341803661156,2017
699.551086713097,2017
701.77903263628,2017
698.59128500781,2017
698.048778060624,2017
698.920582025251,2017
706.694412884737,2017
707.565803475509,2017
695.579185670596,2017
695.930173139823,2017
698.622028985678,2017
701.564348268169,2017
698.641325863151,2017
