val,yr
703.336333065223,2016
698.920365450291,2016
696.634675330561,2016
703.447166891464,2016
696.963668463813,2016
696.824526600996,2016
708.825148953252,2016
699.560367326741,2016
697.606417214023,2016
697.269264619613,2016
703.244809320319,2016
697.843420366234,2016
699.192635300645,2016
700.698433196067,2016
697.895950607928,2016
697.26842290805,2016
697.100959927373,2016
699.940401884648,2016
697.034731699117,2016
699.730817736798,2016
705.573922448344,2016
702.196242580422,2016
696.836207879459,2016
698.171095415872,2016
700.285008263847,2016
697.344072708241,2016
695.757840670669,2016
705.943204998794,2016
708.688363581885,2016
696.279656901082,2016
699.426860889601,2016
710.169449105784,2016
711.677651568844,2016
708.702070538561,2016
699.838698018536,2016
702.441778599437,2016
699.712515534569,2016
703.180384957259,2016
700.07079577071,2016
698.247008358886,2016
698.485007797353,2016
705.926194276363,2016
701.540213183467,2016
697.191796985213,2016
702.098747494793,2016
699.804415449282,2016
703.949615321738,2016
710.976565070562,2016
710.746091030439,2016
706.152372585927,2016
705.836179492053,2016
697.231315394228,2016
696.996217735473,2016
698.965702737188,2016
696.213380372936,2016
696.783811153916,2016
698.918635806995,2016
699.018154096627,2016
703.542921666395,2016
700.442397087152,2016
703.192115055222,2016
710.270126612013,2016
698.986590451041,2016
704.320763787472,2016
706.672746111007,2016
698.525156462294,2016
696.532014660381,2016
696.358565176163,2016
702.206900003606,2016
703.748759148965,2016
697.176987089099,2016
698.607182789369,2016
697.180900339886,2016
696.963777591072,2016
698.464773610355,2016
700.312558357322,2016
699.645811009189,2016
706.771100881413,2016
700.60144631742,2016
699.223782488479,2016
698.424028577955,2016
716.205097607047,2016
698.731229256775,2016
699.874628236264,2016
699.001692580132,2016
700.54659310491,2016
696.337144200268,2016
695.777416034637,2016
699.717097250096,2016
715.028396741786,2016
697.725569565837,2016
704.20013820464,2016
706.371082621349,2016
699.82315402314,2016
699.206697101702,2016
697.89035804842,2016
696.667742255039,2016
699.961403461119,2016
700.677815045577,2016
714.068212094119,2016
