FIX_DATE,FIX_TIME,X_COORD,Y_COORD,COLLAR_ID,EASTING,NORTHING
2009-05-23,00:00:21,-55.3049155,48.284997,1816,625745.603219275,5349365.9209953
2010-05-23,00:00:42,-55.19790122,48.17693298,1811,633965.747322947,5337536.13079846
2009-05-23,00:00:50,-55.01025643,48.02201868,1805,648359.648204828,5320662.94745671
2010-05-23,00:00:55,-55.418018,48.30148982,1819,617317.831520042,5351019.89225239
2010-05-23,02:00:21,-55.30330603,48.24707741,1826,625958.157027896,5345153.9668629
2010-05-23,02:00:41,-55.24189627,48.17280681,1806,630705.814288021,5337001.79057671
2009-05-23,02:00:42,-55.48253091,48.13541641,1800,612898.392524982,5332464.89595493
2009-05-23,02:00:48,-55.29886036,48.28889803,1816,626185.161111413,5349809.4444757
2009-05-23,02:00:52,-54.78919946,48.17629541,1815,664348.656869005,5338258.43528127
2009-05-23,02:00:54,-55.30919913,48.20128095,1803,625632.733648277,5340054.27681001
2010-05-23,02:00:54,-55.18260007,48.18802856,1811,635074.01150762,5338796.11157245
2009-05-23,02:00:56,-54.89599009,48.16676365,1821,656439.352760369,5336976.21442985
2009-05-23,04:00:20,-54.89583699,48.16677934,1821,656450.687900444,5336978.2698304
2010-05-23,04:00:48,-55.3033452,48.24706584,1826,625955.277660771,5345152.61665642
2010-05-23,04:01:52,-55.40483812,48.30491926,1819,618287.280626569,5351421.30210087
2010-05-23,06:00:53,-55.30451863,48.24692229,1826,625868.520418467,5345134.73749236
2010-05-23,06:00:54,-55.40521694,48.30459045,1819,618259.950279068,5351384.17186495
2009-05-23,06:00:56,-55.29861404,48.28899868,1816,626203.183683991,5349821.03641387
2009-05-23,06:01:13,-55.01296814,48.02405776,1805,648151.620547641,5320884.35122492
2009-05-23,08:01:24,-54.89565426,48.16620189,1821,656466.030797816,5336914.46346003
2009-05-23,10:00:23,-55.48552163,48.12797836,1800,612692.167535978,5331633.81442814
2010-05-23,10:00:41,-55.18355999,48.18746448,1811,635004.15222469,5338731.73107426
2010-05-23,10:00:47,-54.86355885,48.04633355,1814,659222.273734016,5323658.17067475
2010-05-23,10:00:49,-55.3247654,48.23951888,1826,624383.44901883,5344278.89126938
2010-05-23,10:00:51,-55.39838605,48.30325466,1819,618769.574535423,5351246.2557585
2009-05-23,10:01:01,-55.29703257,48.28730277,1816,626324.671466008,5349635.14532598
2009-05-23,12:00:25,-55.31302385,48.20377051,1803,625342.476562133,5340324.73102379
2010-05-23,12:00:41,-55.32842987,48.23923953,1826,624112.052583553,5344241.9137727
2010-05-23,12:00:44,-54.86578744,48.05022877,1814,659044.193767113,5324086.47498141
2009-05-23,12:00:50,-55.01323717,48.02349572,1805,648133.173611123,5320821.36916336
2009-05-23,12:00:53,-55.29274547,48.28568859,1816,626646.666022252,5349462.80262491
2009-05-23,12:01:39,-54.7861738,48.17164467,1815,664588.458839885,5337748.02622789
2010-05-23,14:00:24,-55.32718389,48.23269382,1826,624220.41013206,5343516.40441397
2009-05-23,14:00:50,-55.48660916,48.12845773,1800,612610.19840444,5331685.50105752
2009-05-23,14:00:53,-55.02282656,48.02137893,1805,647424.255371091,5320567.71707337
2010-05-23,14:00:53,-55.2357982,48.17814439,1806,631145.541923155,5337605.41479389
2009-05-23,14:01:11,-54.8964733,48.16390969,1821,656412.106874058,5336658.03950748
2009-05-23,16:00:20,-54.89566442,48.16415414,1821,656471.506098957,5336686.85407332
2010-05-23,16:00:24,-55.32740327,48.22623491,1826,624219.754048786,5342798.1738451
2009-05-23,16:00:54,-55.30750376,48.20633961,1803,625746.316307094,5340619.29222165
